labid,Sat_w,pHw,pHCaCl,pHKCl,CE_susp,CE_sat,C_Ox,0CaCO3,CEC,Ca,Mg,Na,K,Total_bases,Sat,ESP,co3,clay,silt,sand18,sand30,sand60,sand140,sand200,sand260
64732,42,6.45,5.8,5.72,0.22,0.48,1.05,0,19.3,9.4,2.2,0.9,2.2,14.7,76.2,4.7,,17.8,67.8,0,0,0.2,0.9,4.6,8.7
64733,33.3,6,5.11,5,0.05,0.14,1.48,0,19.6,8.7,2.1,0.4,2.5,13.7,69.9,2,,22.3,64.2,0,0,0,0.6,3.9,9
64734,45.7,8.3,7,6.72,0.32,0.74,0.15,1,26.4,,,1.7,2.7,,,6.4,1.1,28.6,60.8,0,0,0.2,0.5,2.9,5.9
64738,47.3,9.13,8.12,8.01,0.46,0.99,1.32,2,24.1,,,5.4,2.9,,,22.4,2.1,26.9,63.2,0,0.2,0.6,0.6,2.3,4.1
64739,40.7,7.1,5.75,4.98,0.08,0.2,0.08,0,24.3,13.2,3.1,0.5,2.3,19.1,78.6,2.1,,18.9,53.6,0,0,0.1,1.1,10,16.3
64740,51.7,7.25,6.06,5.49,0.25,0.5,0.58,0,27.9,14.7,4,0.8,2.1,21.6,77.4,2.9,,27.2,62.7,0,0,0,1.1,3.1,5.9
64742,44.5,6.06,5.16,5,0.1,0.21,1.68,0,22,10.9,2.9,0.4,1.8,16,72.7,1.8,,20,65,0,0,0.1,2.4,5.4,7.1
64744,50.7,6.91,5.21,4.98,0.2,0.4,0.4,0,25.4,13.2,3.2,0.8,1.9,19.1,75.2,3.1,,27.7,63,0,0,0.1,0.9,2.9,5.4
64745,46.7,7.02,6.15,6,0.18,0.36,0.05,0,18.7,9,2.5,0.6,1.9,14,74.9,3.2,,19.6,58.9,0,0,0.2,0.9,6.9,13.5
64746,54,8.73,7.62,7.12,0.4,0.68,0.15,1,25.2,12.2,3.5,2.3,2.8,,,9.1,0.8,28,56.2,0,0,0,1,5,9
64747,53.7,7.1,5.96,5.3,0.2,0.57,0.2,0,22.9,13.5,3.4,0.6,1.5,19,83,2.6,,22.6,67.8,0,0,0,0.5,3.1,6
64749,32.7,7.14,6.1,5.83,0.11,0.26,0.15,0,18.5,10.1,3.1,0.7,1.4,15.3,82.7,3.8,,23.2,60,0,0,0.6,1.2,5.4,9.6
64751,42,8.94,7.9,7.81,0.26,0.59,0.33,0,17.2,7.6,2.2,2.2,1.5,13.5,78.5,12.8,,19.5,59.6,0,0,0.2,0.4,8.7,11.6
64752,36.7,8.31,8.3,8,0.2,0.42,0.17,0,19.2,10.2,3.2,1.2,1.3,15.9,82.8,6.3,,26.4,62.3,0,0,0,0.8,3.7,6.8
64753,36.7,7.25,5.71,5.08,0.26,0.45,0.42,0,25.3,13.4,4.1,1,1.7,20.2,79.8,4,,27.5,56.3,0,0,0.2,0.6,6.4,9
64755,43.7,5.34,4.59,4.46,0.21,0.63,1.4,0,18.9,8,2.3,0.3,2.1,12.7,67.2,1.6,,23.4,63.2,0,0,0.2,0.9,3.2,9.1
64756,46.7,8.3,7.41,7.08,0.27,0.56,0.32,0,26.2,16.3,4.6,1.1,2,24,91.6,4.2,,27.2,63.2,0,0,0.2,1.3,3.2,4.9
64757,43.3,7.4,6.4,6.16,0.23,0.5,0.24,0,21.6,11.2,3,0.5,2.2,16.9,78.2,2.3,,25.9,60.5,0,0.2,0.5,0.7,5,7.2
64758,47,7,5.89,5.76,0.1,0.3,0.4,0,26.1,13.2,3.2,1,2.2,19.6,75.1,3.8,,30.2,60.4,0,0,0.2,0.9,2.7,5.6
64761,47.7,8.37,7.27,6.92,0.24,0.5,0.1,1,17.2,,,3,2.3,,,17.4,1,18.2,53.9,0,0.2,0.8,1.7,8.9,15.3
64763,47.7,8.88,7.86,7.42,1.12,2,0.08,1,29.3,,,5.7,2.1,,,19.5,0.8,31.8,59.3,0,0,0,0.3,2.6,5.2
