labid,Sat_w,pHw,pHCaCl,pHKCl,CE_susp,CE_sat,C_Ox,0CaCO3,CEC,Ca,Mg,Na,K,Total_bases,Sat,ESP,co3,clay,silt,sand18,sand30,sand60,sand140,sand200,sand260
64923,45,6.9,5.7,5.08,0.19,0.38,0.39,0,28.7,16.3,3.4,0.5,2.1,22.3,77.7,1.7,,29,57.6,0,0,0.2,0.9,4.3,8
64924,33.3,6.71,5.76,5.32,0.14,0.34,0.43,0,29.1,15,3,0.8,2.6,21.4,73.5,2.7,,30.1,59.2,0,0,0.1,0.8,3.7,6.1
64926,33.3,8.46,7.58,7.11,0.18,0.37,0.13,3,25.8,,,1.2,1.3,2.5,9.7,4.7,5.3,24.6,57.2,0,0,0.3,1.2,4.4,7
64929,40,7.39,6.39,5.73,0.19,0.45,0.05,0,26.7,14.3,3.4,0.5,2.5,20.7,77.5,1.9,,28.8,66.6,0,0,0.1,0.2,1,3.3
64930,46.7,6.8,5.8,5.45,0.12,0.3,0.35,0,27.2,13.5,3.8,0.6,3.2,21.1,77.6,2.2,,31,57.6,0,0.2,0.9,1,3.9,5.4
64931,46.7,5.97,5.26,5.19,0.21,0.57,1.39,0,18.6,9.7,2.4,0.4,1.4,13.9,74.7,2.2,,19.9,65.1,0,0.3,0.8,0.9,4,9
64933,36.7,5.6,4.71,4.66,0.28,0.64,1.31,0,21,10.2,2.2,0.3,1.3,14,66.7,1.4,,22.1,66,0,0.1,0.3,0.8,2.7,8
64934,50.7,7.3,5.99,5.16,0.15,0.55,0.3,0,26.2,14.5,3.4,0.7,2.2,20.8,79.4,2.7,,28.9,61.9,0,0,0.3,0.9,2.8,5.2
64935,38.7,6.9,5.87,5.58,0.18,0.4,1.39,0,19.6,10.4,2.1,0.3,1.5,14.3,73,1.5,,18.6,38.1,0,0.1,0.2,3.2,17.8,22
64936,40.3,6,5.11,5,0.12,0.28,1.42,0,22.3,12.3,2,0.4,1.5,16.2,72.6,1.8,,21.7,60.1,0,0,0.5,0.9,7.2,9.6
64937,43.7,6.01,5.17,5,0.12,0.28,1.13,0,21.7,11.5,1.9,0.5,1.4,15.3,70.5,2.3,,18.9,58.9,0,0,0.5,0.9,8.9,11.9
64938,34,8.93,7.86,7.81,0.31,0.86,0.1,1,16.5,,,1.7,2.4,,,10.3,0.8,15.6,39.8,0,0,0.1,3,17.6,23.1
64945,43.7,6.45,6.01,5.95,0.07,0.19,1.16,0,22.8,11.2,2.3,0.8,2.2,16.5,72.4,3.5,,22.3,59.6,0,0.2,0.8,1,3.5,12.6
64946,37.3,7.7,6.3,6.05,0.05,0.12,0.05,0,22.3,12.1,2.3,0.7,2.5,17.6,78.9,3.1,,16,38.2,0,0,0.5,3.1,17.5,24.7
64947,43.3,10.01,8.64,7.83,0.94,1.32,0.19,2,28.9,,,9.5,3.2,,,32.9,3.2,27.2,53.9,0,0.1,0.2,0.4,6.4,8.6
64948,36.7,6.87,5.86,5.31,0.12,0.32,0.19,0,20.7,9.8,2.6,0.6,2.8,15.8,76.3,2.9,,28.3,57.4,0,0.1,0.6,1,4.5,8.1
64949,40,7.3,5.8,5.74,0.08,0.19,0.43,0,17.2,8.8,2,0.4,1.5,12.7,73.8,2.3,,23.2,42.4,0,0.1,0.2,2.4,12,19.7
64950,45,7.5,6.56,6.48,0.16,0.35,0.08,0,27.5,16.4,3.7,0.4,1.7,22.2,80.7,1.5,,29.3,59.2,0,0,0.6,0.9,4.1,5.9
64953,43.7,7.15,6.2,6.02,0.35,0.73,0.05,0,27.2,14.3,4,0.5,2.2,21,77.2,1.8,,20.3,50.2,0,0,0.1,1.6,10.3,17.5
64960,36.7,7.8,7.75,7.42,0.08,0.18,0.1,0,21.4,11.2,3.2,0.9,2.3,17.6,82.2,4.2,,26.5,63.1,0,0,0.1,0.7,4,5.6
64966,44,7.68,6.37,5.67,0.19,0.45,0.1,0,25,14.3,4,0.4,1.7,20.4,81.6,1.6,,28.6,56.1,0,0,0.1,0.6,3.8,10.8
64968,45,7.45,6.48,6.28,0.08,0.2,0.07,0,14,7.9,2.2,0.3,1.2,11.6,82.9,2.1,,15.6,40,0,0,0.6,2.6,16.3,24.9
64970,38.7,8.64,7.42,7.15,0.21,0.56,0.23,1,27.8,,,2.3,2.2,,,8.3,1,27,39,0,0,0,1.8,14.9,16.3
64971,42.7,5.85,4.87,4.82,0.14,0.3,1.32,0,19.8,9.8,3.2,0.5,1.4,14.9,75.3,2.5,,20.1,60.3,0,0,0,0.6,8.4,10.6
64972,36.7,6.24,5.31,5.08,0.56,1.26,1.08,0,27.4,13.5,2.6,1.2,1.6,18.9,68.8,4.4,,24,60,0,0.5,0.9,1,4.9,8.7
64973,46.7,6.94,6.21,6,0.15,0.32,1.83,0,23.2,12.3,2.8,1.1,1.4,17.5,75.5,4.7,,23,69.1,0,0.1,0.6,0.9,2.1,4.2
64974,45.3,8.2,7.2,6.99,0.28,0.56,0.12,1,24.1,,,1.6,2.6,,,6.6,0.7,18.9,62.3,0,0.1,0.3,0.9,5.8,11
64976,44,5.9,5.12,5,0.15,0.47,1.43,0,23.2,12,2.8,0.7,1.4,16.9,72.8,3,,21,59.7,0,0,0.6,1.2,6.9,10.6
64978,40.3,6.82,5.9,5.78,0.12,0.3,0.33,0,25.8,13.1,3.2,0.7,1.6,18.6,72.1,2.7,,28.6,63.1,0,0,0.2,0.6,3.3,4.2
64980,41.7,5.95,5.07,4.97,0.11,0.21,1.14,0,19.5,10.3,2.3,0.4,1.5,14.5,74.4,2.1,,20.3,65,0,0,0.3,1.9,3.6,8.9
64982,44,7.18,6.18,5.9,0.13,0.31,0.1,0,23.1,12.9,3.3,0.9,1.6,18.7,81,3.9,,24.1,59.8,0,0,0.9,3.5,4.5,7.2
64983,47.3,9.13,8.06,7.97,0.45,1.02,0.24,3,24.8,,,4.2,2.4,,,16.9,25.2,24.6,41.1,0,0.1,0.3,0.6,3.7,4.4
64984,42,7.7,6.86,6.52,0.4,0.79,0.13,1,24.2,,,1.4,4.8,,,5.8,2.1,26.3,64.1,0,0,0.2,0.3,2,5
64987,50.3,6.8,5.79,5.7,0.11,0.27,0.42,0,27.3,14.3,4.2,0.5,1.9,20.9,76.6,1.8,,30,61,0,0,0.1,0.9,2.9,5.1
64990,43.3,9.2,8.1,6.7,0.21,0.54,0.05,0,17.9,8.8,1.8,3.8,2.2,16.6,92.9,21.2,,18.9,65,0,0,0.8,2,4.9,8.4
64991,43.7,6.68,5.55,4.98,0.07,0.32,0.35,0,23.6,12,3.4,0.5,2.2,18.1,76.7,2.1,,26.3,45.2,0,0.1,0.2,1.5,10.1,16.6
64993,44,7.06,6,5.92,0.35,0.73,0.36,0,24.4,12.9,4,0.7,1.9,19.5,79.9,2.9,,27.2,64.2,0,0,0.2,0.9,2.8,4.7
64996,50.7,8.72,7.8,7.38,0.21,0.42,0.21,1,22.9,,,1.9,2.3,,,8.3,1,23.6,56.3,0,0.2,0.6,1.5,5.8,11
64997,53.3,6.75,6.01,5.94,0.28,0.54,0.4,0,25.7,13.4,3.2,0.7,2.5,19.8,77,2.7,,28,65.8,0,0,0.2,0.6,2.1,3.3
65000,43.7,9.65,8.68,8.6,0.44,0.95,0.17,2,29.5,,,6.6,3,,,22.4,2.5,32.3,56.9,0,0,0,0.3,3.7,4.3
65001,37.7,6.79,5.78,5.62,0.18,0.46,0.1,0,20.2,12,1.9,0.5,1.5,15.9,78.7,2.5,,26.5,49.8,0,0,0,0.6,6,17.1
65009,40.7,7.48,6.29,5.5,0.1,0.24,0.12,0,18,9.4,3.2,0.4,1.7,14.7,81.7,2.2,,19.2,48.9,0,0,0,0.6,11.8,19.5
65012,42.1,5.39,4.87,4.63,0.41,0.64,1.78,0,24.1,11.3,3,0.5,2.1,16.9,70.1,2.1,,23.5,62.1,0,0,0.1,1.9,4.6,7.8
65015,42,9.99,8.93,8.51,0.5,0.89,0.23,2,26.4,,,6.9,3.7,10.6,40.2,26.1,2.1,27.6,52,0,0,0.3,1.5,6.9,9.6
65018,43.3,5.5,4.84,4.31,0.26,0.59,1.08,0,22,9.3,2.5,0.4,2.4,14.6,66.4,1.8,,20.2,65.9,0,0.1,0.6,1,4.8,7.4
65023,34,6.89,5.55,5.04,0.12,0.25,0.5,0,17.3,9,2.5,0.4,1.7,13.6,78.6,2.3,,19.1,36.5,0,0,0,2.9,18.3,23.2
65027,43.3,6,5.16,5,0.16,0.33,1.25,0,21.3,10.9,2.6,0.4,1.4,15.3,71.8,1.9,,22.3,63.2,0,0,0.1,0.6,3.8,10
65030,46.3,9.61,8.66,8.48,0.99,2.2,0.19,2,27.5,,,5.9,2.7,,,21.5,1.7,30.6,58.3,0,0.2,0.6,1.2,3.2,4.2
65036,43.7,7.79,7.02,6.88,0.31,0.49,0.11,1,28.2,,,1.4,1.9,,,5,1.1,32,54.1,0,0,0.2,0.4,5.1,7.1
65037,45.3,6.52,5.55,5.48,0.22,0.45,0.34,0,22.9,11.3,3.6,0.5,1.7,17.1,74.7,2.2,,28.1,52.1,0,0.2,0.3,0.5,5.5,13.3
65038,41.7,6.77,5.52,5.01,0.13,0.35,0.51,0,23.9,12.1,3.5,0.4,2,18,75.3,1.7,,24.5,61.9,0,0,0.1,0.2,5.8,7.5
65039,47.3,6.03,5.44,5.31,0.21,0.53,1.21,0,27.2,13.9,3.6,1,2.4,20.9,76.8,3.7,,25,68.9,0,0.1,0.3,0.7,1.9,3.1
